id,title
e219ca40-ed55-4976-ae2a-c46f2a77ae02,University Town College Programme
a4246e1d-fc56-4bd3-a7e8-1a65e074e2a7,Ridge View Residential College Programme
6e6d63ab-2709-46de-956a-02cc9759ab15,NUS College
a74c3971-5dbb-4c93-9cc2-dbe2cadd9d72,Special Programme in Science
08f5d25e-6d9d-40a1-9174-0b854127de2f,Minor in Anthropology
e684e0ce-36c1-4401-ac7d-2f9c4fc39449,Minor in Chinese Language
0dffbec4-8481-444a-a1b0-912c98b1665a,Minor in Chinese Studies
4b87f5f9-b5c4-4384-8fe6-b4b1cdf47881,Minor in Chinese Translation
82e9f6be-e636-4e9a-b132-8089b8beb77c,Minor in Communications and New Media
7469ef32-0550-4c9f-8646-6c6244ed9f6a,Minor in Economics
b524f41c-81fd-4d80-829d-9790d7f8678d,Minor in English Language
acb9c578-2aaf-4f40-9b65-a03f2fc9cd00,Minor in English Literature
1840fd2c-b485-4aea-a27d-0d52e80bdf33,Minor in European Studies
ba0550f2-4448-4c25-bc55-7605428b105d,Minor in History
29e109da-fb3d-45dc-98cc-4e010170e6f0,Minor in Human Services
714c3e40-d053-4dc9-8386-e91b527722d0,Minor in India Studies
a1ff726c-0e77-4918-875a-fa9ac17181fd,Minor in Interpreting
d9b595ab-b789-497c-9162-ae8112fbdafb,Minor in Japanese Studies
1271a15f-323a-41d7-8c70-57f60f4f0325,Minor in Language Science
4ea320c7-b6b7-473e-8cb5-3deb54dab8ea,Minor in Malay Studies
7bfd9c87-ab3e-4e34-963e-62f0360aba7c,Minor in Philosophy
be8748b6-c221-4d6b-9fef-3bb678aff557,Minor in Political Science
cb685e4a-770b-4323-b2de-0bbe82067d86,Minor in Psychology
834d7d77-2d0f-456d-99e1-e9d961affe83,Minor in Sociology
9eaa776a-49b1-48ce-b231-06d67a01e7de,Minor in Southeast Asian Studies
61873bf9-4446-4ff2-b34e-37185a4f0bcb,Minor in Theatre Studies
1ec47502-1abd-4114-9bb4-d75e7959a041,Minor in Aquatic Ecology
e8e888d4-feb6-49ea-88a4-6a0aa9a435f8,Minor in Art History
ceda923b-79b5-439c-a80e-7c420b06b107,Minor in Asian Studies
50976f07-ba2c-46b9-a578-5e09be644a38,Minor in China Studies
1ad01606-84f2-452c-abf0-260289fd104f,Minor in Cultural Studies
d2ba00e1-524f-4dce-911b-a6ed1a3c8a66,Minor in English Studies
cbb989cd-ef8f-4b62-96d6-b5c56e3dda5d,Minor in Film Studies
95066d73-a510-41dc-ac27-185c008c907a,Minor in Gender Studies
66c82135-50df-4185-9c4d-d9b7ed8beeb7,Minor in Geographical Information Systems
00c0297b-e57a-419a-8121-28947f3bc0a0,Minor in Global Studies
e9d6a699-82e0-43fd-a35c-2332119403b1,Minor in Health and Social Sciences
ededd1ab-1123-483d-9982-8638b66658d3,Minor in Interactive Media Development
c85265c2-5349-4d5d-89f2-0c4e2b67e131,Minor in Language Studies
90ca6ce2-4810-4ac6-a0ed-f67099b1304f,Minor in Religious Studies
34b4897c-ebad-4d45-9b02-ce9c1ef2d073,"Minor in Science, Technology and Society"
626ce3e4-9b3e-4af0-9f85-eefb6e088672,Minor in Urban Studies
4854e475-40de-481e-90e7-3f1668b5ba0b,Minor in Management
b351f07d-cb51-413c-951d-53a78a80d101,Minor in Entrepreneurship
c5ebe549-76e8-4ea1-a2e6-bba110b22551,Minor in Technopreneurship
c8e12190-6115-41e3-9e12-78eec13f76ab,Minor in Real Estate
503f8c08-2823-4515-a009-cd4f4c88d2b6,Minor in Management of Technology
baa5d81f-7337-488e-849f-d79046ed1bc2,Minor in Artificial Intelligence
c76b5945-ad05-4e67-bce7-eecc6fefed90,Minor in Business Analytics
ed2d29d2-f873-4603-ab7c-66b0d4531be8,Minor in Computer Science
3fa547f9-823b-48ed-922a-895940c10513,Minor in Information Security
a4111654-2278-451e-9643-b664f6829e0d,Minor in Information Systems
24e4a7ab-504f-478f-b261-48fb4e0b889c,Minor in Data Engineering
f25aa1ea-ebdf-48e8-8ad3-a475c4a120a2,Minor in Architectural Studies
7af0d97f-a661-4f5a-acd5-f89e025e0938,Minor in Biomedical Engineering
10c8a608-1228-49cc-8e1d-be06ce8118a1,Minor in Landscape Architectural Studies
df8282c2-8bd7-4572-a1b4-b1a455b38c91,Minor in Project Management
bd8f355c-d526-4b49-a95f-8908473ff228,Minor in Systems Engineering
b6558b39-bee3-44cf-a96d-e51443aa9288,Minor in Infrastructure Management and Finance
9ac468a5-be4a-4177-a20e-e2e917fadc2c,Minor in Innovation and Design
94efcc71-4ad4-4930-84b8-15fe740daa05,Minor in Biomedical Informatics
a5f4af81-89cf-4608-ac32-1e9c34a4de62,Minor in Integrative Health
33f56db6-b566-4e6d-ab4a-0e43924d4a2f,Minor in Music and Society
365f10a3-5f51-4f7d-a843-226ca384076a,Minor in Public Health
96f9f6db-fb77-4368-a4c9-ccd1fedcfa5b,Minor in Analytical Chemistry
26cb3d12-9713-4d5d-8bf1-3c007d072d0f,Minor in Astronomy
ffefa80a-609d-400e-b11d-b230dd380ff0,Minor in Bioinformatics
373af142-abc3-4f3e-b6fe-d9845a026d5b,Minor in Biophysics
7322de84-ec60-4836-88f4-68d29a165e6e,Minor in Botany
0af55bab-eaf9-4466-8b22-63ec169ae45d,Minor in Chemistry
b95e9baf-4f03-4b17-833a-0765d4b0c1c0,Minor in Data Analytics
9cb87be4-e508-41ce-bd93-b211ede70b7f,Minor in Forensic Science
6674d9a8-8b3d-464e-8827-eaf3863b9c32,Minor in Geosciences
ce3b88d1-737d-45d4-90dc-6d29693fdb71,Minor in Life Sciences
2d843231-11ef-4d3e-ab8e-80a5076e4177,Minor in Mathematics
5102f572-920a-400a-ae2c-3575fb7e8acf,Minor in Meteorology and Climate Science
a17509cc-0e06-4af2-82f0-50501567b098,Minor in Nanoscience
8d1f12ca-6b4b-4724-9d83-dfa23ffe6bf2,Minor in Nutrition
282e586b-64d4-445d-a4f9-a27c800be812,Minor in Pharmaceutical Science
a7c334bb-5ef2-4026-acc9-40e2173af439,Minor in Physics
783151b0-88be-4efd-b703-a373087a9626,Minor in Physics in Technology
